,g,date,time,day,school,home/away,opponent,conf,w/l,pts,opp,w,l,streak,notes,pct_passing,yds_passing,td_passing,yds_rushing,avg_rushing,td_rushing,yds_tot_off,avg_tot_off.,tot_first_downs,no_penalties,tot_turnovers,team
8,9,2023-10-29,12:00 AM,Sun,Hawaii,,San Jose State,MWC,L,0,35,2,7,L 4,,54.1,146,0,52,2.6,0,198,3.5,14,5,3,hawaii
9,10,2023-11-04,4:00 PM,Sat,Hawaii,@,Nevada,MWC,W,27,14,3,7,W 1,,55.3,203,2,136,3.9,1,339,4.6,16,10,1,hawaii
10,11,2023-11-11,11:00 PM,Sat,Hawaii,,Air Force,MWC,W,27,13,4,7,W 2,,75.9,176,2,121,4.2,1,297,5.1,18,5,0,hawaii
11,12,2023-11-18,2:00 PM,Sat,Hawaii,@,Wyoming,MWC,L,9,42,4,8,L 1,,56.8,278,1,67,2.0,0,345,4.4,17,3,2,hawaii
12,13,2023-11-25,11:00 PM,Sat,Hawaii,,Colorado State,MWC,W,27,24,5,8,W 1,,68.9,346,2,151,6.3,1,497,7.2,26,9,0,hawaii
0,1,2023-09-02,7:00 PM,Sat,New Mexico,@,(23) Texas A&M,SEC,L,10,52,0,1,L 1,,57.1,131,0,91,2.8,1,222,3.7,18,10,1,new mexico
1,2,2023-09-09,8:00 PM,Sat,New Mexico,,Tennessee Tech,Non-Major,W,56,10,1,1,W 1,,75.0,291,4,296,8.2,4,587,10.5,24,11,2,new mexico
2,3,2023-09-16,8:00 PM,Sat,New Mexico,,New Mexico State,CUSA,L,17,27,1,2,L 1,,51.3,247,1,154,4.8,1,401,5.6,26,7,1,new mexico
3,4,2023-09-23,3:30 PM,Sat,New Mexico,@,Massachusetts,Ind,W,34,31,2,2,W 1,,52.9,192,1,136,3.6,4,328,6.0,19,6,0,new mexico
4,5,2023-09-30,4:00 PM,Sat,New Mexico,@,Wyoming,MWC,L,26,35,2,3,L 1,,50.0,192,3,225,7.3,0,417,6.2,25,10,2,new mexico
5,6,2023-10-14,6:00 PM,Sat,New Mexico,,San Jose State,MWC,L,24,52,2,4,L 2,,60.0,262,1,129,3.6,2,391,5.9,18,15,1,new mexico
6,7,2023-10-21,6:00 PM,Sat,New Mexico,,Hawaii,MWC,W,42,21,3,4,W 1,,76.9,202,3,227,6.0,3,429,6.7,25,10,0,new mexico
7,8,2023-10-28,10:30 PM,Sat,New Mexico,@,Nevada,MWC,L,24,34,3,5,L 1,,52.5,317,1,83,3.6,2,400,6.3,22,7,3,new mexico
8,9,2023-11-04,6:00 PM,Sat,New Mexico,,Nevada-Las Vegas,MWC,L,14,56,3,6,L 2,,65.4,196,1,166,3.7,1,362,5.1,20,7,2,new mexico
9,10,2023-11-11,10:00 PM,Sat,New Mexico,@,Boise State,MWC,L,14,42,3,7,L 3,,65.4,200,0,123,4.0,2,323,5.7,21,9,1,new mexico
10,11,2023-11-18,10:30 PM,Sat,New Mexico,@,Fresno State,MWC,W,25,17,4,7,W 1,,47.6,183,1,345,6.8,2,528,7.3,26,12,2,new mexico
11,12,2023-11-24,3:30 PM,Fri,New Mexico,,Utah State,MWC,L,41,44,4,8,L 1,,38.6,202,1,337,7.2,4,539,5.9,35,15,0,new mexico
0,1,2023-08-26,7:00 PM,Sat,San Diego State,,Ohio,MAC,W,20,13,1,0,W 1,,64.3,164,2,154,5.0,0,318,5.4,16,6,1,san diego state
1,2,2023-09-02,10:30 PM,Sat,San Diego State,,Idaho State,Non-Major,W,36,28,2,0,W 2,,65.0,85,0,304,6.5,4,389,5.8,18,14,3,san diego state
2,3,2023-09-09,7:30 PM,Sat,San Diego State,,UCLA,Pac-12,L,10,35,2,1,L 1,,52.6,196,1,63,1.9,0,259,3.6,17,4,3,san diego state
3,4,2023-09-16,3:30 PM,Sat,San Diego State,@,(16) Oregon State,Pac-12,L,9,26,2,2,L 2,,62.5,256,0,70,2.1,1,326,4.9,18,1,1,san diego state
4,5,2023-09-22,10:30 PM,Fri,San Diego State,,Boise State,MWC,L,31,34,2,3,L 3,,73.9,273,1,166,4.2,3,439,7.0,22,5,2,san diego state
